case_id,estimand,mean,median,p05,p95,minimum,maximum
monopile_15mw,core_proxy_gwp_kgco2,3254637.3197642574,3240125.5020262394,2657961.572686787,3899235.8750184774,2138942.189505372,4589024.3426722735
monopile_15mw,proxy_gwp_kgco2,3254637.3197642574,3240125.5020262394,2657961.572686787,3899235.8750184774,2138942.189505372,4589024.3426722735
monopile_15mw,core_equal_yield_gco2_per_kwh,2.3589456546816394,2.3484275581838365,1.9264779101882925,2.8261476226849873,1.5502951290174474,3.3261030243330243
monopile_15mw,equal_yield_gco2_per_kwh,2.3589456546816394,2.3484275581838365,1.9264779101882925,2.8261476226849873,1.5502951290174474,3.3261030243330243
monopile_15mw,deployment_gco2_per_kwh,2.483291596683066,2.4681962148322207,1.9911682487438704,3.02783301525437,1.5203095327834117,3.7779860598972803
volturnus_15mw,core_proxy_gwp_kgco2,10006237.124414476,10000957.179307964,8652727.845933747,11376175.536906118,7751029.738334514,12501724.707721714
volturnus_15mw,proxy_gwp_kgco2,14319836.787525598,14312752.466376828,12368431.387432978,16284217.518107425,11118667.108494334,17739537.9040024
volturnus_15mw,core_equal_yield_gco2_per_kwh,7.252473091552131,7.2486462124432585,6.271456001981407,8.245397939339071,5.617909500858531,9.061190626746187
volturnus_15mw,equal_yield_gco2_per_kwh,10.378949617689061,10.37381493540395,8.964580261964905,11.802723431258553,8.058757054790414,12.857532727406248
volturnus_15mw,deployment_gco2_per_kwh,10.351319447793204,10.304436175566156,8.566475510856575,12.315187412844596,6.937684513100111,14.97583211189855
windcrete_15mw,core_proxy_gwp_kgco2,3306471.5767664174,3260557.8877731552,2032819.6493112145,4718068.899293097,1161520.7807789538,6335954.432311529
windcrete_15mw,proxy_gwp_kgco2,6071506.369476245,6018638.618591654,4694217.027737445,7609624.478715922,3578357.781070848,9696075.107793568
windcrete_15mw,core_equal_yield_gco2_per_kwh,2.3965148777027014,2.363236854224219,1.4733780164609802,3.4196339054092166,0.8418647392758961,4.59226964725051
windcrete_15mw,equal_yield_gco2_per_kwh,4.40059894866728,4.362280654194139,3.4023461823131447,5.515419641020454,2.59357670585696,7.027669136619242
windcrete_15mw,deployment_gco2_per_kwh,4.388964400532191,4.337919747054896,3.292704260820954,5.654206144905356,2.3039220402994833,7.695319601009275
tlp_15mw,core_proxy_gwp_kgco2,6540722.895819473,6538098.543861182,5652610.89128996,7436241.900640672,5062218.074447999,8169285.198214299
tlp_15mw,proxy_gwp_kgco2,6724662.313272761,6721606.360582715,5833278.6384184705,7622627.987491978,5192317.826433715,8370848.211484372
tlp_15mw,core_equal_yield_gco2_per_kwh,4.740684855997299,4.738782738175823,4.096985497782097,5.389752772806169,3.669071591250271,5.921059069518228
tlp_15mw,equal_yield_gco2_per_kwh,4.874003271198638,4.8717883312189,4.227932621887708,5.52484452235412,3.763367272909847,6.067150983173423
tlp_15mw,deployment_gco2_per_kwh,4.86075601877434,4.833243630783736,4.031935577336777,5.776943616621737,3.3440391788424053,7.083673207595028
