panel_order,panel_label,estimand,row_order,column_order,row_case_id,column_case_id,row_evidence_profile,column_evidence_profile,sample_fraction_row_lower,sample_fraction_column_lower,sample_fraction_tie,reported_material_conditional_sample_fraction,tie_threshold,comparison_scope
0,Core substructure only,core_equal_yield_gco2_per_kwh,0,0,monopile_15mw,monopile_15mw,A,A,0.0,0.0,1.0,0.5,0.01,diagonal
0,Core substructure only,core_equal_yield_gco2_per_kwh,0,1,monopile_15mw,windcrete_15mw,A,C_sensitivity,0.49772,0.47302,0.02926,0.51235,0.01,extended_evidence_limited
0,Core substructure only,core_equal_yield_gco2_per_kwh,0,2,monopile_15mw,tlp_15mw,A,B,1.0,0.0,0.0,1.0,0.01,headline_conditional
0,Core substructure only,core_equal_yield_gco2_per_kwh,0,3,monopile_15mw,volturnus_15mw,A,A,1.0,0.0,0.0,1.0,0.01,headline_conditional
0,Core substructure only,core_equal_yield_gco2_per_kwh,1,0,windcrete_15mw,monopile_15mw,C_sensitivity,A,0.47302,0.49772,0.02926,0.48765,0.01,extended_evidence_limited
0,Core substructure only,core_equal_yield_gco2_per_kwh,1,1,windcrete_15mw,windcrete_15mw,C_sensitivity,C_sensitivity,0.0,0.0,1.0,0.5,0.01,diagonal
0,Core substructure only,core_equal_yield_gco2_per_kwh,1,2,windcrete_15mw,tlp_15mw,C_sensitivity,B,1.0,0.0,0.0,1.0,0.01,extended_evidence_limited
0,Core substructure only,core_equal_yield_gco2_per_kwh,1,3,windcrete_15mw,volturnus_15mw,C_sensitivity,A,1.0,0.0,0.0,1.0,0.01,extended_evidence_limited
0,Core substructure only,core_equal_yield_gco2_per_kwh,2,0,tlp_15mw,monopile_15mw,B,A,0.0,1.0,0.0,0.0,0.01,headline_conditional
0,Core substructure only,core_equal_yield_gco2_per_kwh,2,1,tlp_15mw,windcrete_15mw,B,C_sensitivity,0.0,1.0,0.0,0.0,0.01,extended_evidence_limited
0,Core substructure only,core_equal_yield_gco2_per_kwh,2,2,tlp_15mw,tlp_15mw,B,B,0.0,0.0,1.0,0.5,0.01,diagonal
0,Core substructure only,core_equal_yield_gco2_per_kwh,2,3,tlp_15mw,volturnus_15mw,B,A,1.0,0.0,0.0,1.0,0.01,headline_conditional
0,Core substructure only,core_equal_yield_gco2_per_kwh,3,0,volturnus_15mw,monopile_15mw,A,A,0.0,1.0,0.0,0.0,0.01,headline_conditional
0,Core substructure only,core_equal_yield_gco2_per_kwh,3,1,volturnus_15mw,windcrete_15mw,A,C_sensitivity,0.0,1.0,0.0,0.0,0.01,extended_evidence_limited
0,Core substructure only,core_equal_yield_gco2_per_kwh,3,2,volturnus_15mw,tlp_15mw,A,B,0.0,1.0,0.0,0.0,0.01,headline_conditional
0,Core substructure only,core_equal_yield_gco2_per_kwh,3,3,volturnus_15mw,volturnus_15mw,A,A,0.0,0.0,1.0,0.5,0.01,diagonal
1,Core + station keeping,equal_yield_gco2_per_kwh,0,0,monopile_15mw,monopile_15mw,A,A,0.0,0.0,1.0,0.5,0.01,diagonal
1,Core + station keeping,equal_yield_gco2_per_kwh,0,1,monopile_15mw,windcrete_15mw,A,C_sensitivity,1.0,0.0,0.0,1.0,0.01,extended_evidence_limited
1,Core + station keeping,equal_yield_gco2_per_kwh,0,2,monopile_15mw,tlp_15mw,A,B,1.0,0.0,0.0,1.0,0.01,headline_conditional
1,Core + station keeping,equal_yield_gco2_per_kwh,0,3,monopile_15mw,volturnus_15mw,A,A,1.0,0.0,0.0,1.0,0.01,headline_conditional
1,Core + station keeping,equal_yield_gco2_per_kwh,1,0,windcrete_15mw,monopile_15mw,C_sensitivity,A,0.0,1.0,0.0,0.0,0.01,extended_evidence_limited
1,Core + station keeping,equal_yield_gco2_per_kwh,1,1,windcrete_15mw,windcrete_15mw,C_sensitivity,C_sensitivity,0.0,0.0,1.0,0.5,0.01,diagonal
1,Core + station keeping,equal_yield_gco2_per_kwh,1,2,windcrete_15mw,tlp_15mw,C_sensitivity,B,0.75473,0.20073,0.04454,0.777,0.01,extended_evidence_limited
1,Core + station keeping,equal_yield_gco2_per_kwh,1,3,windcrete_15mw,volturnus_15mw,C_sensitivity,A,1.0,0.0,0.0,1.0,0.01,extended_evidence_limited
1,Core + station keeping,equal_yield_gco2_per_kwh,2,0,tlp_15mw,monopile_15mw,B,A,0.0,1.0,0.0,0.0,0.01,headline_conditional
1,Core + station keeping,equal_yield_gco2_per_kwh,2,1,tlp_15mw,windcrete_15mw,B,C_sensitivity,0.20073,0.75473,0.04454,0.223,0.01,extended_evidence_limited
1,Core + station keeping,equal_yield_gco2_per_kwh,2,2,tlp_15mw,tlp_15mw,B,B,0.0,0.0,1.0,0.5,0.01,diagonal
1,Core + station keeping,equal_yield_gco2_per_kwh,2,3,tlp_15mw,volturnus_15mw,B,A,1.0,0.0,0.0,1.0,0.01,headline_conditional
1,Core + station keeping,equal_yield_gco2_per_kwh,3,0,volturnus_15mw,monopile_15mw,A,A,0.0,1.0,0.0,0.0,0.01,headline_conditional
1,Core + station keeping,equal_yield_gco2_per_kwh,3,1,volturnus_15mw,windcrete_15mw,A,C_sensitivity,0.0,1.0,0.0,0.0,0.01,extended_evidence_limited
1,Core + station keeping,equal_yield_gco2_per_kwh,3,2,volturnus_15mw,tlp_15mw,A,B,0.0,1.0,0.0,0.0,0.01,headline_conditional
1,Core + station keeping,equal_yield_gco2_per_kwh,3,3,volturnus_15mw,volturnus_15mw,A,A,0.0,0.0,1.0,0.5,0.01,diagonal
