estimand,case_a,case_b,sample_fraction_a_lower,sample_fraction_b_lower,sample_fraction_tie,median_gap_a_minus_b,p05_gap_a_minus_b,p95_gap_a_minus_b,headline_comparison,comparison_scope
core_equal_yield_gco2_per_kwh,monopile_15mw,volturnus_15mw,1.0,0.0,0.0,-4.8817711624250135,-5.657148142186234,-4.163984118322694,True,headline_conditional
core_equal_yield_gco2_per_kwh,monopile_15mw,windcrete_15mw,0.49772,0.47302,0.02926,-0.019606850254857533,-1.0843563232142643,0.9594963137148979,False,extended_evidence_limited
core_equal_yield_gco2_per_kwh,monopile_15mw,tlp_15mw,1.0,0.0,0.0,-2.3707226393450584,-2.8673847881161674,-1.9313897611382769,True,headline_conditional
core_equal_yield_gco2_per_kwh,volturnus_15mw,windcrete_15mw,0.0,1.0,0.0,4.842706929065694,3.6380622790628996,6.120970035640152,False,extended_evidence_limited
core_equal_yield_gco2_per_kwh,volturnus_15mw,tlp_15mw,0.0,1.0,0.0,2.5039074577611955,2.091496168274317,2.9612244963879513,True,headline_conditional
core_equal_yield_gco2_per_kwh,windcrete_15mw,tlp_15mw,1.0,0.0,0.0,-2.347182980849676,-3.3963554654956067,-1.2897737360375854,False,extended_evidence_limited
equal_yield_gco2_per_kwh,monopile_15mw,volturnus_15mw,1.0,0.0,0.0,-8.008819760575584,-9.181761815340911,-6.886495452767344,True,headline_conditional
equal_yield_gco2_per_kwh,monopile_15mw,windcrete_15mw,1.0,0.0,0.0,-2.0130759879350824,-3.1115976954084013,-1.059487644744115,False,extended_evidence_limited
equal_yield_gco2_per_kwh,monopile_15mw,tlp_15mw,1.0,0.0,0.0,-2.5049687404945393,-3.003659953300045,-2.062333826771494,True,headline_conditional
equal_yield_gco2_per_kwh,volturnus_15mw,windcrete_15mw,0.0,1.0,0.0,5.961251789444881,4.645853914580026,7.365010690776271,False,extended_evidence_limited
equal_yield_gco2_per_kwh,volturnus_15mw,tlp_15mw,0.0,1.0,0.0,5.496609551410991,4.685194836050156,6.350712311209028,True,headline_conditional
equal_yield_gco2_per_kwh,windcrete_15mw,tlp_15mw,0.75473,0.20073,0.04454,-0.49050929035561497,-1.4305267271809112,0.5301666354875142,False,extended_evidence_limited
deployment_gco2_per_kwh,monopile_15mw,volturnus_15mw,1.0,0.0,0.0,-7.820135103173388,-9.558888056059537,-6.3557632123062415,True,headline_conditional
deployment_gco2_per_kwh,monopile_15mw,windcrete_15mw,0.99965,0.00016,0.00019,-1.8676296286727305,-3.0858287405137994,-0.8555203960650577,False,extended_evidence_limited
deployment_gco2_per_kwh,monopile_15mw,tlp_15mw,1.0,0.0,0.0,-2.3540032789202217,-3.0939407909757404,-1.7359066417316795,True,headline_conditional
deployment_gco2_per_kwh,volturnus_15mw,windcrete_15mw,0.0,1.0,0.0,5.915057237931899,4.343927223437313,7.738592040105057,False,extended_evidence_limited
deployment_gco2_per_kwh,volturnus_15mw,tlp_15mw,0.0,1.0,0.0,5.445191312739443,4.269503053982487,6.876546686415768,True,headline_conditional
deployment_gco2_per_kwh,windcrete_15mw,tlp_15mw,0.73778,0.22078,0.04144,-0.48695825025134853,-1.5522006007875604,0.6544717125680425,False,extended_evidence_limited
