source_id,source_type,citation,url,locator_used,accessed,role
NREL75698,government_report,"Gaertner et al. 2020. Definition of the IEA 15-Megawatt Offshore Reference Wind Turbine. NREL/TP-5000-75698",https://docs.nrel.gov/docs/fy20osti/75698.pdf,Table ES-1,2026-07-17,IEA monopile mass
NREL76773,government_report,"Allen et al. 2020. Definition of the UMaine VolturnUS-S Reference Platform Developed for the IEA Wind 15-Megawatt Offshore Reference Wind Turbine. NREL/TP-5000-76773",https://docs.nrel.gov/docs/fy20osti/76773.pdf,"Tables 2, 6, and 8; Section 2.1",2026-07-17,VolturnUS platform materials and mooring
COREWIND_D1_3,EU_project_report,"Mahfouz et al. 2020. Public design and FAST models of the two 15 MW floater-turbine concepts. COREWIND D1.3",https://corewind.eu/wp-content/uploads/files/publications/COREWIND-public-design-and-FAST-models-of-the-two-15mw-floater-turbine-concepts.pdf,"Tables 5-1, 5-5, 5-6, and 5-7",2026-07-17,WindCrete material identities and mooring
ORE_CFA_2022,public_industry_report,"Duncan 2022. Reducing Carbon Emissions from Floating Sub-Structures. ORE Catapult CFAR-OC-035-31012023",https://cms.ore.catapult.org.uk/wp-content/uploads/2023/01/CSC-CFA_WP4_T3_Floater_Carbon-Emission_Opportunities_v0.5-ISSUED.pdf,"Tables 3 and 11",2026-07-17,ActiveFloat concrete and reinforcement inventory
COREWIND_D6_4,EU_project_report,"COREWIND 2023. LCOE CAPEX and OPEX reduction: Key Performance Indicators and Executive Summary. D6.4",https://corewind.eu/wp-content/uploads/files/delivery-docs/D6.4.pdf,Table A-2,2026-07-17,ActiveFloat Gran Canaria mooring composition
COREWIND_D2_4,EU_project_report,"COREWIND 2023. Design of station keeping systems for optimised concepts. D2.4",https://corewind.eu/wp-content/uploads/files/delivery-docs/D2.4.pdf,Design verification discussion,2026-07-17,Design-version and Gran Canaria ULS/FLS qualification caveat
ACTIVEFLOAT_JMSE_2021,peer_reviewed_article,"Effects of second-order hydrodynamics on the dynamic responses and fatigue damage of a 15 MW floating offshore wind turbine. Journal of Marine Science and Engineering 9:1232",https://www.mdpi.com/2077-1312/9/11/1232/htm,Section 2.2,2026-07-17,ActiveFloat physical platform mass cross-check
FRONTIERS_TLP_2026,peer_reviewed_article,"Design and dynamic response analysis of a novel 15 MW tension leg platform floating offshore wind turbine. Frontiers in Energy Research",https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2026.1670184/full,"Section 2.3.1 and Tables 6-7",2026-07-17,TLP platform materials and tendons
ICE_AGGREGATE,secondary_material_database,"Inventory of Carbon and Energy v2.0 summary: general gravel or crushed rock",https://kps.fsv.cvut.cz/upload/files/icev2.0summarytables.pdf,Aggregate row,2026-07-17,Aggregate GWP proxy
WORLDSTEEL_PLATE_2023,industry_lci,"World Steel Association 2023. worldsteel LCA eco-profile: Global | Plate",https://worldsteel.org/wider-sustainability/life-cycle-thinking/lca-eco-profiles-2024-release/global-plate-other/,A1-A3 climate-change total,2026-07-17,Structural-steel central GWP proxy
MPA_GCCA_CONCRETE_2025,industry_benchmark,"Mineral Products Association 2025. UK adaptation of GCCA Global Ratings for Low Carbon and Near Zero Concrete",https://cement.mineralproducts.org/MPACement/media/Cement/Publications/2025/UK-adaptation-of-GCCA-Global-Ratings-for-Low-Carbon-and-Near-Zero-Concrete-Feb-2025.pdf,20 MPa benchmark row converted by stated density,2026-07-17,Concrete central GWP proxy and high-cement stress range
GOPALRAJ_CFRP_2021,peer_reviewed_article,"Karuppannan Gopalraj et al. 2021. Life Cycle Assessment of a Thermal Recycling Process as an Alternative to Existing CFRP and GFRP Composite Wastes Management Options. Polymers 13:4430",https://doi.org/10.3390/polym13244430,Composite production inventory,2026-07-17,CFRP central proxy bracketed widely for carbon-fibre rope product
