structure_type,rated_power_mw,parameter,mean_abs_prcc_across_materials
bottom_fixed,2.0,capacity_factor,0.9866157879711579
bottom_fixed,2.0,eol_credit_rate,0.9643243160052432
bottom_fixed,5.0,capacity_factor,0.9821818297078183
bottom_fixed,5.0,eol_credit_rate,0.9707244173422442
bottom_fixed,10.0,capacity_factor,0.9804568366655684
bottom_fixed,10.0,eol_credit_rate,0.9740720313927203
bottom_fixed,15.0,capacity_factor,0.979853613930536
bottom_fixed,15.0,eol_credit_rate,0.9754586938365869
fawt,2.0,capacity_factor,0.984414600025146
fawt,2.0,eol_credit_rate,0.973493502926935
fawt,5.0,capacity_factor,0.9821725078287251
fawt,5.0,eol_credit_rate,0.9781293631872937
fawt,10.0,capacity_factor,0.9814764659177647
fawt,10.0,eol_credit_rate,0.9801142872811429
fawt,15.0,capacity_factor,0.9812386398623864
fawt,15.0,eol_credit_rate,0.9809241120052411
onshore,2.0,capacity_factor,0.9942420662734207
onshore,2.0,eol_credit_rate,0.9610788278987883
onshore,5.0,capacity_factor,0.9910098780400987
onshore,5.0,eol_credit_rate,0.9636517138055171
onshore,10.0,capacity_factor,0.98918400249384
onshore,10.0,eol_credit_rate,0.9654837291278373
onshore,15.0,capacity_factor,0.9884255089282552
onshore,15.0,eol_credit_rate,0.9663136681291367
semisubmersible,2.0,capacity_factor,0.9885705767497057
semisubmersible,2.0,eol_credit_rate,0.9654147287851473
semisubmersible,5.0,capacity_factor,0.985276492095765
semisubmersible,5.0,eol_credit_rate,0.9695074432220745
semisubmersible,10.0,capacity_factor,0.98380200799302
semisubmersible,10.0,eol_credit_rate,0.9715345384303454
semisubmersible,15.0,capacity_factor,0.9832299551292996
semisubmersible,15.0,eol_credit_rate,0.9723647669676477
spar,2.0,capacity_factor,0.9920950604849506
spar,2.0,eol_credit_rate,0.9604602270496023
spar,5.0,capacity_factor,0.98934499998245
spar,5.0,eol_credit_rate,0.9628353895153539
spar,10.0,capacity_factor,0.9880288537962886
spar,10.0,eol_credit_rate,0.9642336065163362
spar,15.0,capacity_factor,0.9874990370419904
spar,15.0,eol_credit_rate,0.9648270587372706
