rated_power_mw,material_model,pair_label,pair_member_a,pair_member_b,mean_intensity_a_gco2_per_kwh,mean_intensity_b_gco2_per_kwh,point_estimate_a_lower_gwp,support_frequency,reversal_frequency,tie_frequency,n_samples,tie_threshold_pct
15.0,gfrp,FAWT$^\dagger$ vs Spar,fawt,spar,13.095152389235006,12.937049139318022,False,0.4949,0.4326,0.0725,10000,1.0
15.0,gfrp,Bottom-fixed vs Onshore,bottom_fixed,onshore,9.24375659615797,9.849469100430884,True,0.6826,0.2516,0.0658,10000,1.0
15.0,gfrp,FAWT$^\dagger$ vs Semisub.,fawt,semisubmersible,13.095152389235006,14.228171235138143,True,0.7514,0.1907,0.0579,10000,1.0
15.0,gfrp,Semisub. vs Spar,semisubmersible,spar,14.228171235138143,12.937049139318022,False,0.7862,0.1668,0.0470,10000,1.0
15.0,gfrp,FAWT$^\dagger$ vs Onshore,fawt,onshore,13.095152389235006,9.849469100430884,False,0.9941,0.0028,0.0031,10000,1.0
15.0,gfrp,Onshore vs Spar,onshore,spar,9.849469100430884,12.937049139318022,True,0.9940,0.0025,0.0035,10000,1.0
15.0,gfrp,Bottom-fixed vs FAWT$^\dagger$,bottom_fixed,fawt,9.24375659615797,13.095152389235006,True,1.0000,0.0000,0.0000,10000,1.0
15.0,gfrp,Bottom-fixed vs Semisub.,bottom_fixed,semisubmersible,9.24375659615797,14.228171235138143,True,1.0000,0.0000,0.0000,10000,1.0
15.0,gfrp,Bottom-fixed vs Spar,bottom_fixed,spar,9.24375659615797,12.937049139318022,True,1.0000,0.0000,0.0000,10000,1.0
15.0,gfrp,Onshore vs Semisub.,onshore,semisubmersible,9.849469100430884,14.228171235138143,True,1.0000,0.0000,0.0000,10000,1.0
