structure_type,rated_power_mw,rr_rc_net_delta_gpkwh,rr_rc_core_mass_penalty_effect_gpkwh,rr_rc_material_factor_benefit_gpkwh,rr_better_than_rc
bottom_fixed,2.0,0.0607294382193959,0.3947228051565751,-0.3339933669371792,False
bottom_fixed,5.0,0.0625658940710616,0.3068399787047141,-0.2442740846336525,False
bottom_fixed,10.0,0.0638391509582713,0.2728346364487537,-0.2089954854904823,False
bottom_fixed,15.0,0.0645403176448981,0.2594839090718027,-0.1949435914269046,False
fawt,2.0,0.3911225514270053,0.6214327114692673,-0.2303101600422619,False
fawt,5.0,0.3770412010084731,0.501998410446972,-0.1249572094384988,False
fawt,10.0,0.3557902190480976,0.454382127414343,-0.0985919083662453,False
fawt,15.0,0.3483248640823927,0.4340028249927491,-0.0856779609103563,False
onshore,2.0,-0.0128879398057064,0.4815240113337516,-0.4944119511394581,True
onshore,5.0,-0.0238785569009738,0.3540866105120005,-0.3779651674129743,True
onshore,10.0,-0.0186446524074987,0.3046769172004492,-0.3233215696079479,True
onshore,15.0,-0.015891948226603,0.2861022463942407,-0.3019941946208437,True
semisubmersible,2.0,0.327565889296568,0.9108827810851547,-0.5833168917885867,False
semisubmersible,5.0,0.3134609753723072,0.7595422686245793,-0.4460812932522721,False
semisubmersible,10.0,0.312122125767028,0.6996128345804442,-0.3874907088134162,False
semisubmersible,15.0,0.3113575724531968,0.6763443495722293,-0.3649867771190325,False
spar,2.0,0.3230461013982239,0.8139670155428019,-0.4909209141445779,False
spar,5.0,0.3167455772890641,0.6693893395914672,-0.3526437623024031,False
spar,10.0,0.3136137840552943,0.6131353559108813,-0.299521571855587,False
spar,15.0,0.3118440096061651,0.5911011140603791,-0.279257104454214,False
