pair,tie_threshold_pct,support_prob,reversal_prob,tie_prob,n_samples
bottom_fixed vs onshore,0.5,0.6986,0.2687,0.0327,10000
bottom_fixed vs onshore,1.0,0.6828,0.2516,0.0656,10000
bottom_fixed vs onshore,2.0,0.651,0.2229,0.1261,10000
bottom_fixed vs onshore,5.0,0.5528,0.1479,0.2993,10000
semisubmersible vs spar,0.5,0.797,0.1785,0.0245,10000
semisubmersible vs spar,1.0,0.7828,0.1667,0.0505,10000
semisubmersible vs spar,2.0,0.7549,0.1446,0.1005,10000
semisubmersible vs spar,5.0,0.664,0.0888,0.2472,10000
fawt vs semisubmersible,0.5,0.775,0.2004,0.0246,10000
fawt vs semisubmersible,1.0,0.7588,0.1877,0.0535,10000
fawt vs semisubmersible,2.0,0.7288,0.1631,0.1081,10000
fawt vs semisubmersible,5.0,0.6304,0.1039,0.2657,10000
fawt vs spar,0.5,0.5101,0.4524,0.0375,10000
fawt vs spar,1.0,0.4924,0.4358,0.0718,10000
fawt vs spar,2.0,0.4588,0.4048,0.1364,10000
fawt vs spar,5.0,0.3634,0.3074,0.3292,10000
